label toxic,testo spagnolo,testo tradotto dallo spagnolo,Spiegazione,Violenza,Comportamento fisico ,Tipo di comportamento  fisico ,Comportamento cyber ,Tipo di comportamento cyber,Comunicazione Aggressiva,Tipo di comunicazione aggressiva,Classi su singola colonna +  classificazione chatgpt,Classi su singola colonna,"note: tra parentesi è posta la classificazione di ChatGPT quando discordante da quella umana.             Invece, nel campo ""spiegazione"" tra parentesi è posta la spiegazione fornita da chatGPT sul perché la frase è tossica."
1,Mi novio me dice que soy una guarra por subir fotos en bikini.,Il mio ragazzo mi dice che sono una troia perché pubblico foto in bikini.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte, irrispettosa e volgare mediante l'uso di una espressione sconcia.",1,1,C,0,0,1,C,1 1 C 0 0 1 C,1 1 C 0 0 1 C,
1,Mi novio dice que las mujeres no servimos para nada.,Il mio ragazzo dice che le donne non servono a niente.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner per causare sofferenza emotiva. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla.",1,1,C,0,0,1,B,1 1 C 0 0 1 B,1 1 C 0 0 1 B,
1,Cuando me emociono mi novia se ríe de mí. ,"Quando mi commuovo, la mia ragazza ride di me.","Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner per causare sofferenza emotiva. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla.",1,1,C,0,0,1,B,1 1 C 0 0 1 B,1 1 C 0 0 1 B,
1,"Mira esa es una puta, el otro día subió una foto el biquini teniendo novio. No te hagas fotos con esa que da asco.","Guarda, quella è una puttana, l'altro giorno ha pubblicato una foto in bikini anche se è fidanzata. Non farti foto con quella schifosa.","Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco ad un'altra persona in maniera rabbiosa, rude, forte, irrispettosa e volgare mediante l'uso di una espressione sconcia. Infine si cerca di controllare la vittima, dandole un ordine, ledendo così la sua libertà personale.",1,1,C,0,0,1,C,1 1 C 0 0 1 C,1 1 C 0 0 1 C,
1,Yo siempre que se estropea algo se lo dejo a mi marido que pa eso está. ,"Ogni volta che qualcosa si rompe la lascio riparare da mio marito, è compito suo.","Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di comunicare con l’intenzione di influenzare negativamente lo stato mentale ed emotivo del proprio partner e di volerlo controllare. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla affibbiandole uno stereotipo.",1,1,C,0,0,1,B,1 1 C 0 0 1 B,1 1 C 0 0 1 B,
1,Me dice como tengo que ir vestida a los sitios.,Mi dice come devo vestirmi quando usciamo.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo ordinandole come vestirsi, ledendo così la sua libertà personale.",1,1(0),C(0),0,0,0(1),0(E),1 1(0) C(0) 0 0 0(1) 0(E),1 1 C 0 0 0 0,
1,A ver que haces en línea sin contestarme. ,Perché sei online e non mi rispondi?,"Questa frase è tossica perché è un esempio di violenza cyber di tipo Cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione.  Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte e minacciosa.",1,0,0,1,C,1,D,1 0 0 1 C 1 D,1 0 0 1 C 1 D,
1,No te hagas fotos con esa que da asco.,Non farti fotografare con quella schifosa.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco ad un'altra persona in maniera rabbiosa, rude, forte, irrispettosa e volgare mediante l'uso di una espressione sconcia. Infine si cerca di controllare la vittima, dandole un ordine, ledendo così la sua libertà personale.",1,1,C,0,0,1,C,1 1 C 0 0 1 C,1 1 C 0 0 1 C,
1,Mi novio no sirve para limpiar.,Il mio ragazzo non sa fare le pulizie.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di comunicare con l’intenzione di influenzare negativamente lo stato mentale ed emotivo del proprio partner e di volerlo controllare. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla affibbiandole uno stereotipo.",1,1,C,0,0,1,B,1 1 C 0 0 1 B,1 1 C 0 0 1 B,
1,Las mujeres son las que llevan las cosas de la casa.,Sono le donne che devono gestire la casa.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di comunicare con l’intenzione di influenzare negativamente lo stato mentale ed emotivo del proprio partner e di volerlo controllare e stereotipare.",1,1,C,0,0,0,0,1 1 C 0 0 0 0,1 1 C 0 0 0 0,
