Prompt,Contesto,Esempio,Accept,Reject
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo pretende di leggere le chat del mio telefono.,"Se non hai nulla da nascondere, dammi il telefono.","In questo contesto la frase è tossica perché è un esempio di violenza cyber stalking. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner richiedendogli l'accesso completo allo smartphone personale. ","In questo contesto la frase non è tossica perché il tono è chiaramente ironico e affettuoso. La comunicazione non è aggressiva, ma è un invito a fare ciò che viene richiesto dal partner. Il partner non mostra intenzioni di controllo o sfiducia, ma fa un commento scherzoso in risposta a un gesto innocuo. Non sono presenti elementi di pressione, minaccia o violazione della privacy."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo mi dice scherzando di dargli il telefono quando mi vede sorridere.,"Se non hai nulla da nascondere, dammi il telefono.","In questo contesto la frase non è tossica perché il tono è chiaramente ironico e affettuoso. La comunicazione non è aggressiva, ma è un invito a fare ciò che viene richiesto dal partner. Il partner non mostra intenzioni di controllo o sfiducia, ma fa un commento scherzoso in risposta a un gesto innocuo. Non sono presenti elementi di pressione, minaccia o violazione della privacy.","In questo contesto la frase è tossica perché è un esempio di violenza cyber stalking. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner richiedendogli l'accesso completo allo smartphone personale. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Non vai da nessuna parte, rispondi alla chiamata davanti a me.",Rispondi alla chiamata.,"In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia, intimandolo a eseguire ordini che hanno l'obiettivo di favorire controllo e monitoraggio. ","In questo contesto la frase non è tossica perché viene pronunciata in un contesto di attenzione e premura nei confronti del partner, senza alcuna forma di coercizione. Inoltre, non vi sono minacce, pressioni indebite o tentativi di controllo."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Credo sia il tuo datore di lavoro, rispondi alla chiamata.",Rispondi alla chiamata.,"In questo contesto la frase non è tossica perché viene pronunciata in un contesto di attenzione e premura nei confronti del partner, senza alcuna forma di coercizione. Inoltre, non vi sono minacce, pressioni indebite o tentativi di controllo.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia, intimandolo a eseguire ordini che hanno l'obiettivo di favorire controllo e monitoraggio. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo sminuisce i miei sentimenti quando gli parlo di alcune mie preoccupazioni.,"Esageri sempre, la stai vedendo più grande di quel che è.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla. In particolare, minimizza il danno psicologico compiuto nei confronti della vittima tentando di svicolare dalle responsabilità personali.","In questo contesto la frase non è tossica perché, nell'ambito di una relazione sentimentale, è legittimo esprimere il proprio disappunto. Inoltre, la frase è finalizzata a discutere in modo propositivo quanto accaduto, senza offendere il partner."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo mi rassicura quando ho un problema da risolvere perché sa che mi faccio sopraffare dalle emozioni.,"Esageri sempre, la stai vedendo più grande di quel che è.","In questo contesto la frase non è tossica perché, nell'ambito di una relazione sentimentale, è legittimo esprimere il proprio disappunto. Inoltre, la frase è finalizzata a discutere in modo propositivo quanto accaduto, senza offendere il partner.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla. In particolare, minimizza il danno psicologico compiuto nei confronti della vittima tentando di svicolare dalle responsabilità personali."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Voglio che condividi la tua posizione quando sei in giro; se davvero mi amassi, lo faresti senza pensarci.","Se davvero mi amassi, lo faresti senza pensarci.",In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Induce nella vittima un senso di inadeguatezza derivante dalla reticenza ad obbedire ciecamente alle richieste del partner.,"In questo contesto la frase non è tossica perché esprime un invito alla fiducia reciproca e alla collaborazione. L’intento non è ricattatorio, ma volto a rafforzare il legame e a superare un momento di esitazione del partner."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Fidati di me e lascia che ti aiuti stavolta; se davvero mi amassi, lo faresti senza pensarci.","Se davvero mi amassi, lo faresti senza pensarci.","In questo contesto la frase non è tossica perché esprime un invito alla fiducia reciproca e alla collaborazione. L’intento non è ricattatorio, ma volto a rafforzare il legame e a superare un momento di esitazione del partner.",In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Induce nella vittima un senso di inadeguatezza derivante dalla reticenza ad obbedire ciecamente alle richieste del partner.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo vuole sapere sempre chi è che mi scrive.,Chi ti sta scrivendo a quest'ora?,In questo contesto la frase è tossica perché è un esempio di violenza cyber stalking. Esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia per trarre conclusioni che mettono la vittima in uno stato di angoscia dovuto alla sensazione di essere costantemente monitorata e sotto controllo.,"In questo contesto la frase non è tossica perché, in un contesto di relazione sana, può essere espressione di semplice curiosità o preoccupazione. Il partner vuole assicurarsi che l’altro stia bene, senza alcuna intenzione di controllo o invasione della privacy."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Il mio ragazzo, vedendo che era tardi, si è preoccupato che potesse essere successo qualcosa.",Chi ti sta scrivendo a quest'ora?,"In questo contesto la frase non è tossica perché, in un contesto di relazione sana, può essere espressione di semplice curiosità o preoccupazione. Il partner vuole assicurarsi che l’altro stia bene, senza alcuna intenzione di controllo o invasione della privacy.",In questo contesto la frase è tossica perché è un esempio di violenza cyber stalking. Esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia per trarre conclusioni che mettono la vittima in uno stato di angoscia dovuto alla sensazione di essere costantemente monitorata e sotto controllo.
